date,V_t,E_t,D_t,R_t
2020-05-10,122,464,0.06286411055412545,0.6120689655172413
2020-05-11,139,465,0.048482952768220205,0.6021505376344086
2020-05-12,139,471,0.04910853925555208,0.5690021231422505
2020-05-13,145,483,0.04626436781609196,0.598343685300207
2020-05-14,146,509,0.048086915446386394,0.5756385068762279
2020-05-15,144,524,0.050893550893550896,0.6183206106870229
2020-05-16,137,474,0.050880206097037355,0.6265822784810127
2020-05-17,137,501,0.05377844568484328,0.6107784431137725
2020-05-18,142,493,0.0492458295874538,0.5862068965517241
2020-05-19,147,515,0.047991799459509835,0.566990291262136
2020-05-20,139,520,0.05421749556876238,0.6384615384615384
2020-05-21,146,537,0.050732168162494096,0.5884543761638734
2020-05-22,161,565,0.04386645962732919,0.6088495575221239
2020-05-23,146,491,0.046386395843174305,0.6028513238289206
2020-05-24,138,523,0.05532635142282873,0.6042065009560229
2020-05-25,136,476,0.05185185185185185,0.6008403361344538
2020-05-26,144,508,0.049339549339549336,0.5669291338582677
2020-05-27,153,517,0.044461644306845544,0.6228239845261122
2020-05-28,143,528,0.05200433369447454,0.571969696969697
2020-05-29,159,570,0.045378552663004536,0.6298245614035087
2020-05-30,133,511,0.05821371610845295,0.5831702544031311
2020-05-31,135,524,0.05793255942509674,0.6297709923664122
2020-06-01,145,550,0.05268199233716475,0.6309090909090909
2020-06-02,157,566,0.04621917360770864,0.5936395759717314
2020-06-03,148,605,0.05561684133112704,0.6264462809917355
2020-06-04,151,607,0.05359823399558499,0.5749588138385503
2020-06-05,157,630,0.0514453699167075,0.638095238095238
2020-06-06,145,595,0.05699233716475097,0.5915966386554622
2020-06-07,141,580,0.05876393110435664,0.65
2020-06-08,150,579,0.05181208053691275,0.6355785837651122
2020-06-09,159,584,0.04649311360560465,0.589041095890411
2020-06-10,151,622,0.05492273730684327,0.6237942122186495
2020-06-11,156,618,0.0511166253101737,0.610032362459547
2020-06-12,157,631,0.0515270292340356,0.6703645007923931
2020-06-13,141,600,0.060790273556231005,0.6183333333333333
2020-06-14,142,596,0.05953451203675956,0.6661073825503355
2020-06-15,152,662,0.05768560474032765,0.6827794561933535
2020-06-16,160,637,0.05007861635220126,0.640502354788069
2020-06-17,163,708,0.053624176323562825,0.6468926553672316
2020-06-18,159,692,0.05509115516280551,0.653179190751445
2020-06-19,170,748,0.05207100591715977,0.6844919786096256
2020-06-20,158,696,0.056115455938079505,0.6436781609195402
2020-06-21,153,695,0.059769521843825245,0.6805755395683454
2020-06-22,164,734,0.054915457130031424,0.6730245231607629
2020-06-23,162,685,0.052526646729545275,0.6467153284671533
2020-06-24,161,739,0.05737577639751553,0.6698240866035182
2020-06-25,168,724,0.05161106358711149,0.6395027624309392
2020-06-26,171,783,0.05386996904024767,0.7088122605363985
2020-06-27,165,726,0.05365853658536586,0.6749311294765841
2020-06-28,157,754,0.06157112526539278,0.669761273209549
2020-06-29,160,741,0.05825471698113207,0.6734143049932524
2020-06-30,162,733,0.05620734606241853,0.6630286493860846
2020-07-01,168,883,0.06294553749643571,0.7214043035107588
2020-07-02,170,900,0.06265227984684998,0.72
